Date Time,Tin,Tout,GasUsed,Srd
2018-11-09 12:00:00,16.72154545,12.11,0.0,166
2018-11-09 13:00:00,16.50518182,12.304,0.0,130
2018-11-09 14:00:00,16.30581818,11.431,0.0,35
2018-11-09 15:00:00,16.15,11.819,0.0,46
2018-11-09 16:00:00,16.01963636,10.748,0.0,82
2018-11-09 17:00:00,15.81163636,10.845999999999998,0.0,8
2018-11-09 18:00:00,15.66409091,11.040999999999999,13.58520427,1
2018-11-09 19:00:00,17.30127273,11.139000000000001,2.3384367999999998,2
2018-11-09 20:00:00,17.43118182,9.965,4.6768735999999995,6
2018-11-09 21:00:00,17.37918182,9.669,4.6768735999999995,2
2018-11-09 22:00:00,17.72527273,10.062999999999999,0.33406240000000004,1
2018-11-09 23:00:00,17.39654545,10.259,0.0,1
2018-11-10 00:00:00,16.97263636,10.455,0.0,1
2018-11-10 01:00:00,16.66954545,10.259,0.0,1
2018-11-10 02:00:00,16.46190909,9.965,0.0,2
2018-11-10 03:00:00,16.27118182,9.373,0.0,2
2018-11-10 04:00:00,16.10681818,8.581,0.0,1
2018-11-10 05:00:00,15.89845455,8.382,0.0,2
2018-11-10 06:00:00,15.74236364,8.282,13.47385013,2
2018-11-10 07:00:00,17.23190909,8.182,2.227082667,1
2018-11-10 08:00:00,17.47445455,7.481,4.120102934,1
2018-11-10 09:00:00,17.50918182,8.382,3.7860405339999996,42
2018-11-10 10:00:00,18.20972727,9.767999999999999,3.006561599,131
2018-11-10 11:00:00,18.26154545,11.625,3.563332267,241
2018-11-10 12:00:00,18.78918182,12.497,2.449790934,281
2018-11-10 13:00:00,18.28754545,12.304,4.5655194660000005,131
2018-11-10 14:00:00,18.72845455,11.431,2.783853333,33
2018-11-10 15:00:00,18.48636364,10.845999999999998,3.340624001,214
2018-11-10 16:00:00,18.64227273,9.767999999999999,4.008748799999999,48
2018-11-10 17:00:00,18.38263636,8.182,2.895207467,14
2018-11-10 18:00:00,18.53818182,8.082,1.781666133,1
2018-11-10 19:00:00,18.43436364,8.182,4.454165334,1
2018-11-10 20:00:00,18.28754545,7.481,2.449790934,2
2018-11-10 21:00:00,18.547,7.28,3.786040533,2
2018-11-10 22:00:00,18.29618182,7.582000000000001,0.6681248000000001,1
2018-11-10 23:00:00,18.22690909,7.682,0.33406240000000004,1
2018-11-11 00:00:00,17.88963636,8.282,1.113541334,1
2018-11-11 01:00:00,17.785999999999998,8.581,0.33406240000000004,1
2018-11-11 02:00:00,17.44854545,7.782,1.4476037330000002,1
2018-11-11 03:00:00,17.39663636,7.582000000000001,0.11135413300000001,1
2018-11-11 04:00:00,17.09372727,7.079,1.893020266,1
2018-11-11 05:00:00,17.10227273,7.28,0.11135413300000001,2
2018-11-11 06:00:00,16.834,7.782,12.24895467,1
2018-11-11 07:00:00,18.04527273,7.983,0.44541653299999995,2
2018-11-11 08:00:00,18.01081818,8.282,6.569893867999999,1
2018-11-11 09:00:00,18.16636364,9.176,1.224895466,28
